locality_code,locality_name,district_code,district_name,municipal_status_code,municipal_status_name
1221,צורית,24,עכו,56.0,מועצה אזורית משגב
613,ציפורי,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
796,צלפון,11,ירושלים,26.0,מועצה אזורית מטה יהודה
636,צנדלה,23,יזרעאל,8.0,מועצה אזורית הגלבוע
594,צפרייה,43,רמלה,40.0,מועצה אזורית שדות דן
1079,צפרירים,11,ירושלים,26.0,מועצה אזורית מטה יהודה
8000,צפת,21,צפת,0.0,עירייה
612,צרופה,32,חדרה,15.0,מועצה אזורית חוף הכרמל
567,צרעה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1234,קבועה (שבט),62,באר שבע,,חסר מעמד מוניציפלי
334,קבוצת יבנה,44,רחובות,29.0,מועצה אזורית חבל יבנה
3557,קדומים,73,טול כרם,99.0,מועצה מקומית
195,קדימה-צורן,41,השרון,99.0,מועצה מקומית
392,קדמה,61,אשקלון,35.0,מועצה אזורית יואב
4025,קדמת צבי,29,גולן,71.0,מועצה אזורית גולן
3781,קדר,76,בית לחם,76.0,מועצה אזורית גוש עציון
615,קדרון,44,רחובות,28.0,מועצה אזורית ברנר
1211,קדרים,21,צפת,1.0,מועצה אזורית הגליל העליון
964,קודייראת א-צאנע (שבט),62,באר שבע,,חסר מעמד מוניציפלי
972,קוואעין (שבט),62,באר שבע,,חסר מעמד מוניציפלי
766,קוממיות,61,אשקלון,34.0,מועצה אזורית שפיר
1179,קורנית,24,עכו,56.0,מועצה אזורית משגב
1052,קטורה,62,באר שבע,53.0,מועצה אזורית חבל אילות
1167,קיסריה,32,חדרה,15.0,מועצה אזורית חוף הכרמל
414,קלחים,62,באר שבע,42.0,מועצה אזורית מרחבים
3601,קליה,75,ירדן-יריחו,74.0,מועצה אזורית מגילות ים המלח
638,קלנסווה,41,השרון,0.0,עירייה
4024,קלע,29,גולן,71.0,מועצה אזורית גולן
1243,קציר,32,חדרה,14.0,מועצה אזורית מנשה
1347,קצר א-סר,62,באר שבע,68.0,מועצה אזורית נווה מדבר
4100,קצרין,29,גולן,99.0,מועצה מקומית
2620,קריית אונו,52,תל אביב,0.0,עירייה
3611,קריית ארבע,77,חברון,99.0,מועצה מקומית
6800,קריית אתא,31,חיפה,0.0,עירייה
9500,קריית ביאליק,31,חיפה,0.0,עירייה
2630,קריית גת,61,אשקלון,0.0,עירייה
1768,קריית חינוך מרחבים*,62,באר שבע,42.0,מועצה אזורית מרחבים
2300,קריית טבעון,31,חיפה,99.0,מועצה מקומית
9600,קריית ים,31,חיפה,0.0,עירייה
1137,קריית יערים,11,ירושלים,99.0,מועצה מקומית
2039,קריית יערים (מוסד),11,ירושלים,26.0,מועצה אזורית מטה יהודה
8200,קריית מוצקין,31,חיפה,0.0,עירייה
1034,קריית מלאכי,61,אשקלון,0.0,עירייה
3746,קריית נטפים,73,טול כרם,72.0,מועצה אזורית שומרון
78,קריית ענבים,11,ירושלים,26.0,מועצה אזורית מטה יהודה
469,קריית עקרון,44,רחובות,99.0,מועצה מקומית
412,קריית שלמה,41,השרון,19.0,מועצה אזורית חוף השרון
2800,קריית שמונה,21,צפת,0.0,עירייה
1766,קרית חינוך עזתה,62,באר שבע,39.0,מועצה אזורית שדות נגב
1746,קרית תעופה,43,רמלה,25.0,מועצה אזורית חבל מודיעין
3640,קרני שומרון,73,טול כרם,99.0,מועצה מקומית
4006,קשת,29,גולן,71.0,מועצה אזורית גולן
543,ראמה,24,עכו,99.0,מועצה מקומית
1334,ראס אל-עין,24,עכו,56.0,מועצה אזורית משגב
990,ראס עלי,31,חיפה,12.0,מועצה אזורית זבולון
2640,ראש העין,42,פתח תקווה,0.0,עירייה
26,ראש פינה,21,צפת,99.0,מועצה מקומית
3602,ראש צורים,76,בית לחם,76.0,מועצה אזורית גוש עציון
8300,ראשון לציון,44,רחובות,0.0,עירייה
3795,רבבה,72,שכם,72.0,מועצה אזורית שומרון
564,רבדים,61,אשקלון,35.0,מועצה אזורית יואב
354,רביבים,62,באר שבע,48.0,מועצה אזורית רמת נגב
1225,רביד,22,כנרת,6.0,מועצה אזורית עמק הירדן
390,רגבה,24,עכו,4.0,מועצה אזורית מטה אשר
444,רגבים,32,חדרה,14.0,מועצה אזורית מנשה
1161,רהט,62,באר שבע,0.0,עירייה
2051,רווחה,61,אשקלון,34.0,מועצה אזורית שפיר
2016,רוויה,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
1341,רוח מדבר,62,באר שבע,48.0,מועצה אזורית רמת נגב
362,רוחמה,61,אשקלון,37.0,מועצה אזורית שער הנגב
539,רומאנה,25,יזרעאל,65.0,מועצה אזורית אל-בטוף
997,רומת הייב,25,יזרעאל,65.0,מועצה אזורית אל-בטוף
3619,רועי,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
3782,רותם,75,ירדן-יריחו,75.0,מועצה אזורית ערבות הירדן
854,רחוב,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
8400,רחובות,44,רחובות,0.0,עירייה
3822,רחלים,72,שכם,72.0,מועצה אזורית שומרון
540,ריחאנייה,21,צפת,2.0,מועצה אזורית מרום הגליל
3568,ריחן,71,ג'נין,72.0,מועצה אזורית שומרון
542,ריינה,25,יזרעאל,99.0,מועצה מקומית
3565,רימונים,74,ראמאללה,73.0,מועצה אזורית מטה בנימין
616,רינתיה,42,פתח תקווה,25.0,מועצה אזורית חבל מודיעין
922,רכסים,31,חיפה,99.0,מועצה מקומית
1069,רם-און,23,יזרעאל,8.0,מועצה אזורית הגלבוע
4702,רמות,29,גולן,71.0,מועצה אזורית גולן
206,רמות השבים,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
735,רמות מאיר,43,רמלה,30.0,מועצה אזורית גזר
445,רמות מנשה,23,יזרעאל,13.0,מועצה אזורית מגידו
372,רמות נפתלי,21,צפת,55.0,מועצה אזורית מבואות החרמון
8500,רמלה,43,רמלה,0.0,עירייה
8600,רמת גן,52,תל אביב,0.0,עירייה
135,רמת דוד,23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
184,רמת הכובש,42,פתח תקווה,20.0,מועצה אזורית דרום השרון
335,רמת השופט,23,יזרעאל,13.0,מועצה אזורית מגידו
2650,רמת השרון,51,תל אביב,0.0,עירייה
178,רמת יוחנן,31,חיפה,12.0,מועצה אזורית זבולון
122,רמת ישי,23,יזרעאל,99.0,מועצה מקומית
1828,"רמת כוכב מ""א 7",23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
1829,"רמת כוכב מ""א 8",23,יזרעאל,8.0,מועצה אזורית הגלבוע
1830,"רמת כוכב מ""א 9",23,יזרעאל,9.0,מועצה אזורית עמק יזרעאל
1831,"רמת כוכב של""ש",23,יזרעאל,,חסר מעמד מוניציפלי
4701,רמת מגשימים,29,גולן,71.0,מועצה אזורית גולן
1837,"רמת מנשה מ""א 13",23,יזרעאל,13.0,מועצה אזורית מגידו
1838,"רמת מנשה של""ש",23,יזרעאל,,חסר מעמד מוניציפלי
339,רמת צבי,23,יזרעאל,8.0,מועצה אזורית הגלבוע
460,רמת רזיאל,11,ירושלים,26.0,מועצה אזורית מטה יהודה
127,רמת רחל,11,ירושלים,26.0,מועצה אזורית מטה יהודה
789,רנן,62,באר שבע,42.0,מועצה אזורית מרחבים
713,רעים,62,באר שבע,38.0,מועצה אזורית אשכול
8700,רעננה,42,פתח תקווה,0.0,עירייה
1228,רקפת,24,עכו,56.0,מועצה אזורית משגב
247,רשפון,41,השרון,19.0,מועצה אזורית חוף השרון
437,רשפים,23,יזרעאל,7.0,מועצה אזורית עמק המעיינות
1260,רתמים,62,באר שבע,48.0,מועצה אזורית רמת נגב
324,שאר ישוב,21,צפת,55.0,מועצה אזורית מבואות החרמון
1377,שבי דרום,62,באר שבע,42.0,מועצה אזורית מרחבים
