repr,metric,algo,k_target,k_actual,elapsed_s,error,k,pop_min,pop_max,pop_ratio,pop_cv,avg_within_std,avg_dominant_margin,min_dominant_margin,wcss,silhouette,n_disconnected
bloc_shares,jensen_shannon,kmeans_baseline,10,10,0.05,,10,219778.39999999997,584234.1999999998,2.6582876206214983,0.27281228963713927,375.16058431522185,11.571792883567957,2.1235514330507854,1480861018.7106352,0.5614700134847073,10
bloc_shares,jensen_shannon,kmeans_baseline,15,15,0.06,,15,128552.80000000002,524903.0,4.083170494925042,0.42163813728366223,191.96918111257094,15.181781061092684,1.9788547322617944,477828031.1097914,0.5580168716486682,14
bloc_shares,jensen_shannon,kmeans_baseline,20,20,0.06,,20,31728.399999999998,524903.0,16.543632833675826,0.5079028930576929,137.01968717247652,15.79307925243406,2.1235514330507854,222374182.4139592,0.5518880141941928,17
raw_party_shares,euclidean,simulated_annealing,3,3,19.27,,3,1136746.4,1421038.5999999999,1.2500928967094156,0.09415551198627421,1.0894083159200914,3.5852699542477104,2.5667626246986295,169926.11442015693,0.11217269920644171,0
raw_party_shares,euclidean,simulated_annealing,5,5,22.78,,5,453276.19999999995,1110876.0,2.4507706338872417,0.34207108356655885,1.0909555993247912,5.9192650546405865,3.046955839802507,191007.11997323728,-0.05933782696715021,0
raw_party_shares,euclidean,simulated_annealing,7,7,26.47,,7,217608.6,939893.5999999997,4.319193267177859,0.4602461473889518,1.216612346357236,7.4430410417016475,0.5033182946368022,234230.16380147164,-0.13963557332849638,0
raw_party_shares,euclidean,simulated_annealing,10,10,32.7,,10,1821.8,930366.9999999998,510.68558568448776,0.757637434221825,1.146847289616791,7.139584720518769,0.24806063395623568,202132.64350605136,-0.207343011222417,0
raw_party_shares,euclidean,simulated_annealing,15,15,37.47,,15,27862.399999999998,621342.5999999999,22.300397668542548,0.7067659922524301,0.9680602252885667,9.760626085046825,1.6198456296597108,171835.39632266707,-0.2894355831585363,0
raw_party_shares,euclidean,simulated_annealing,20,20,42.58,,20,191.0,651913.0,3413.1570680628274,0.9614558652025182,0.8888160557231422,12.188191074602054,0.19242929707572287,131911.96502255736,-0.2990153729335981,0
raw_party_shares,euclidean,agglomerative_average,3,3,0.17,,3,110200.59999999999,3419056.400000001,31.02575122095525,1.1446558573669152,0.6441468573853365,19.306647766798392,3.3895669430883224,107342.47677014064,0.5661632770058126,0
raw_party_shares,euclidean,agglomerative_average,5,5,0.17,,5,1295.4,3416435.400000001,2637.359425660028,1.6865878966181844,0.6322254544940528,21.221866356637626,3.394354887926326,101701.58056724715,0.3796301467107662,0
raw_party_shares,euclidean,agglomerative_average,7,7,0.17,,7,1295.4,3412704.0000000005,2634.478925428439,2.0906528496671406,0.620327794454454,16.611682131191706,1.691978568892221,97268.10347295075,0.3231999576830959,0
raw_party_shares,euclidean,agglomerative_average,10,10,0.18,,10,1295.4,3361270.6000000006,2594.774278215223,2.539214617482828,0.6058951044649281,14.819545483795782,0.3265899410563833,91434.06804775484,0.2513487373709431,0
raw_party_shares,euclidean,agglomerative_average,15,15,0.27,,15,1295.4,3340136.0000000005,2578.4591631928365,3.1675825606736345,0.5865897928368907,14.820204186044407,0.3265899410563833,83367.93405133768,0.08745142900725299,0
raw_party_shares,euclidean,agglomerative_average,20,20,0.16,,20,1295.4,3024269.600000001,2334.622201636561,3.3449616933275967,0.5664510963107676,14.753711001849993,0.3265899410563833,78238.78402938395,-0.1793280522987598,0
raw_party_shares,euclidean,louvain,3,3,0.16,,3,378988.9999999998,2724230.7999999993,7.188152690447482,0.7779097734190825,0.8681131126151103,12.880220177457275,2.927158510412376,127122.47262150975,0.18325889018790884,0
raw_party_shares,euclidean,louvain,5,5,0.21,,5,79924.99999999999,1527627.2,19.113258680012514,0.6874608278554578,0.754001875146142,13.939566868620375,4.762970890801892,116427.38629355853,0.08939720655085037,0
raw_party_shares,euclidean,louvain,7,7,0.24,,7,34170.0,1527627.2,44.70667837284167,0.9461193632984956,0.8546969623967405,11.840854419234175,4.267572098472048,121802.67606515616,0.059444884666796004,0
raw_party_shares,euclidean,louvain,10,10,0.25,,10,18952.800000000003,1196603.5999999999,63.13597990798192,0.9496515441324448,0.7796715110118514,12.874005500169122,0.6316760765836484,124028.00442518854,-0.1165164546606872,0
raw_party_shares,euclidean,louvain,15,15,0.26,,15,4278.6,1196603.5999999999,279.67176179124004,1.3499101067074704,0.6413561297851761,17.53668737825604,0.6217353946738555,125786.28644060482,-0.09879428523966922,0
raw_party_shares,euclidean,louvain,20,20,0.3,,20,3074.4,1196603.5999999999,389.21532656778555,1.65247255747033,0.5808516276978141,21.285587599427327,0.6217353946738555,133029.50424361747,-0.11520561827887459,0
raw_party_shares,euclidean,kmeans_baseline,3,3,0.05,,3,407161.2,2191045.8000000007,5.381273559464901,0.5568522194371099,0.6945972117848318,21.463286573432878,16.33703681045937,73008.69598627834,0.4915591659148821,3
raw_party_shares,euclidean,kmeans_baseline,5,5,0.05,,5,407161.2,1077226.6,2.645700523527291,0.3906760533798763,0.6321299707520652,18.996828788882915,3.9890101374319897,47954.29832602982,0.43988707590679804,5
raw_party_shares,euclidean,kmeans_baseline,7,7,0.05,,7,90695.4,1068438.0000000002,11.780509265078496,0.7187329045021332,0.5614578753085586,16.85218522719443,3.045770972766121,37024.961114840975,0.3742054591440388,7
raw_party_shares,euclidean,kmeans_baseline,10,10,0.06,,10,19922.399999999998,1048388.8000000002,52.62361964421959,0.9641015579467788,0.46278191322758094,17.302945188118834,0.6204325517511755,29851.196026849142,0.3335779622439258,8
raw_party_shares,euclidean,kmeans_baseline,15,15,0.06,,15,4065.8,924396.8,227.35914211225344,1.0441049450831696,0.4304023766774262,15.626626117731677,0.3265899410563833,22641.450049834875,0.31457370308577165,11
