municipality,eligible,voters,invalid,valid,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,knesset,אמת_pct,אצ_pct,ב_pct,ג_pct,ד_pct,ום_pct,ז_pct,זך_pct,זנ_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יץ_pct,יק_pct,כן_pct,ך_pct,ל_pct,מחל_pct,מרצ_pct,נז_pct,ני_pct,נף_pct,נץ_pct,נק_pct,נר_pct,עם_pct,פה_pct,ף_pct,צ_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קנ_pct,קץ_pct,רז_pct,שס_pct,ת_pct,turnout_pct
יסוד המעלה,1348,894,4,890,63,2,20,6,2,1,0,0,0,0,86,1,3,0,0,0,194,0,8,176,38,0,0,0,0,0,0,1,266,0,2,0,0,0,0,0,5,0,16,0,25,7.08,0.22,2.25,0.67,0.22,0.11,0.0,0.0,0.0,0.0,9.66,0.11,0.34,0.0,0.0,0.0,21.8,0.0,0.9,19.78,4.27,0.0,0.0,0.0,0.0,0.0,0.0,0.11,29.89,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.56,0.0,1.8,0.0,66.32
יפיע,13860,6855,105,6750,94,3,0,2,1770,2988,0,0,0,0,5,0,2,2,2,2,21,1,3,204,110,0,0,0,4,1,0,1428,52,2,9,13,2,2,1,0,3,0,21,3,25,1.39,0.04,0.0,0.03,26.22,44.27,0.0,0.0,0.0,0.0,0.07,0.0,0.03,0.03,0.03,0.03,0.31,0.01,0.04,3.02,1.63,0.0,0.0,0.0,0.06,0.01,0.0,21.16,0.77,0.03,0.13,0.19,0.03,0.03,0.01,0.0,0.04,0.0,0.31,0.04,49.46
יקנעם עילית,18933,12790,79,12711,435,55,131,145,1,9,1,2,0,0,1219,3,53,2,0,0,1466,2,1094,4212,198,0,2,2,4,4,1,4,2996,12,22,1,1,0,8,1,77,6,538,4,25,3.42,0.43,1.03,1.14,0.01,0.07,0.01,0.02,0.0,0.0,9.59,0.02,0.42,0.02,0.0,0.0,11.53,0.02,8.61,33.14,1.56,0.0,0.02,0.02,0.03,0.03,0.01,0.03,23.57,0.09,0.17,0.01,0.01,0.0,0.06,0.01,0.61,0.05,4.23,0.03,67.55
ירוחם,7861,5196,51,5145,62,7,194,333,4,16,0,0,0,1,908,1,11,0,0,0,382,1,273,1927,49,0,1,1,0,0,0,63,240,1,10,0,0,2,2,3,5,0,646,2,25,1.21,0.14,3.77,6.47,0.08,0.31,0.0,0.0,0.0,0.02,17.65,0.02,0.21,0.0,0.0,0.0,7.42,0.02,5.31,37.45,0.95,0.0,0.02,0.02,0.0,0.0,0.0,1.22,4.66,0.02,0.19,0.0,0.0,0.04,0.04,0.06,0.1,0.0,12.56,0.04,66.1
ירושלים,432125,266196,1496,264700,6576,746,5031,63008,1712,2529,10,10,3,4,37635,25,389,4,2,43,13905,27,4962,50582,7294,6,27,8,30,46,9,749,19773,55,266,15,76,19,39,34,498,31,48470,52,25,2.48,0.28,1.9,23.8,0.65,0.96,0.0,0.0,0.0,0.0,14.22,0.01,0.15,0.0,0.0,0.02,5.25,0.01,1.87,19.11,2.76,0.0,0.01,0.0,0.01,0.02,0.0,0.28,7.47,0.02,0.1,0.01,0.03,0.01,0.01,0.01,0.19,0.01,18.31,0.02,61.6
ירכא,11387,5823,101,5722,68,1,13,4,21,412,4,0,0,0,6,3,0,2,0,2,1294,0,897,1970,426,2,8,1,2,1,1,118,372,2,6,1,5,0,3,34,4,1,37,1,25,1.19,0.02,0.23,0.07,0.37,7.2,0.07,0.0,0.0,0.0,0.1,0.05,0.0,0.03,0.0,0.03,22.61,0.0,15.68,34.43,7.44,0.03,0.14,0.02,0.03,0.02,0.02,2.06,6.5,0.03,0.1,0.02,0.09,0.0,0.05,0.59,0.07,0.02,0.65,0.02,51.14
כאבול,8670,6115,54,6061,3,1,0,1,1933,2182,1,0,0,0,1,0,1,1,0,0,8,1,0,18,11,0,0,0,0,0,1,1871,11,0,2,7,0,0,0,0,2,0,3,2,25,0.05,0.02,0.0,0.02,31.89,36.0,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.13,0.02,0.0,0.3,0.18,0.0,0.0,0.0,0.0,0.0,0.02,30.87,0.18,0.0,0.03,0.12,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.03,70.53
כאוכב אבו אל-היג'א,2804,1721,22,1699,3,0,0,1,468,667,2,0,0,0,0,2,0,0,0,0,2,0,0,3,5,1,0,0,0,1,1,535,3,0,0,1,0,1,0,0,1,0,2,0,25,0.18,0.0,0.0,0.06,27.55,39.26,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.18,0.29,0.06,0.0,0.0,0.0,0.06,0.06,31.49,0.18,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.06,0.0,0.12,0.0,61.38
כוכב יאיר,7829,5714,13,5701,484,21,186,9,2,8,0,0,1,0,286,0,19,0,0,0,884,0,187,886,330,1,0,0,0,1,0,3,2327,1,10,1,1,0,1,1,21,0,29,1,25,8.49,0.37,3.26,0.16,0.04,0.14,0.0,0.0,0.02,0.0,5.02,0.0,0.33,0.0,0.0,0.0,15.51,0.0,3.28,15.54,5.79,0.02,0.0,0.0,0.0,0.02,0.0,0.05,40.82,0.02,0.18,0.02,0.02,0.0,0.02,0.02,0.37,0.0,0.51,0.02,72.99
כסייפה,9552,5312,50,5262,9,0,0,3,577,426,1,0,1,0,2,1,2,2,0,3,224,1,1,54,115,3,1,3,0,2,2,3755,35,1,0,8,2,4,2,8,3,1,8,2,25,0.17,0.0,0.0,0.06,10.97,8.1,0.02,0.0,0.02,0.0,0.04,0.02,0.04,0.04,0.0,0.06,4.26,0.02,0.02,1.03,2.19,0.06,0.02,0.06,0.0,0.04,0.04,71.36,0.67,0.02,0.0,0.15,0.04,0.08,0.04,0.15,0.06,0.02,0.15,0.04,55.61
כסרא - סמיע,6066,1959,14,1945,91,0,4,0,60,67,48,0,0,0,17,15,0,0,0,0,774,0,326,190,145,0,0,0,0,0,0,15,180,0,1,0,1,0,0,10,0,0,0,1,25,4.68,0.0,0.21,0.0,3.08,3.44,2.47,0.0,0.0,0.0,0.87,0.77,0.0,0.0,0.0,0.0,39.79,0.0,16.76,9.77,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.77,9.25,0.0,0.05,0.0,0.05,0.0,0.0,0.51,0.0,0.0,0.0,0.05,32.29
כעביה - טבאש - חג'אג'רה,3989,2248,15,2233,8,0,0,0,101,154,0,0,0,0,2,0,0,0,1,0,179,1,6,59,16,0,0,1,0,0,1,1491,168,2,1,3,0,2,0,7,4,2,23,1,25,0.36,0.0,0.0,0.0,4.52,6.9,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.04,0.0,8.02,0.04,0.27,2.64,0.72,0.0,0.0,0.04,0.0,0.0,0.04,66.77,7.52,0.09,0.04,0.13,0.0,0.09,0.0,0.31,0.18,0.09,1.03,0.04,56.35
כפר ברא,2576,1669,13,1656,3,1,6,0,270,164,0,0,0,0,0,1,0,0,1,0,0,0,0,4,53,0,1,0,0,0,0,1150,2,0,0,0,0,0,0,0,0,0,0,0,25,0.18,0.06,0.36,0.0,16.3,9.9,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.24,3.2,0.0,0.06,0.0,0.0,0.0,0.0,69.44,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.79
כפר ורדים,4780,3162,10,3152,281,6,22,2,19,46,0,0,0,0,149,0,9,0,0,0,524,0,117,409,278,0,1,0,0,2,0,19,1211,1,3,0,0,0,0,1,42,0,9,1,25,8.91,0.19,0.7,0.06,0.6,1.46,0.0,0.0,0.0,0.0,4.73,0.0,0.29,0.0,0.0,0.0,16.62,0.0,3.71,12.98,8.82,0.0,0.03,0.0,0.0,0.06,0.0,0.6,38.42,0.03,0.1,0.0,0.0,0.0,0.0,0.03,1.33,0.0,0.29,0.03,66.15
כפר יאסיף,8257,5275,38,5237,23,2,6,3,1524,2805,1,0,1,1,8,0,2,0,2,0,57,1,20,138,91,0,0,1,2,0,0,429,82,0,2,9,2,1,1,3,9,0,11,0,25,0.44,0.04,0.11,0.06,29.1,53.56,0.02,0.0,0.02,0.02,0.15,0.0,0.04,0.0,0.04,0.0,1.09,0.02,0.38,2.64,1.74,0.0,0.0,0.02,0.04,0.0,0.0,8.19,1.57,0.0,0.04,0.17,0.04,0.02,0.02,0.06,0.17,0.0,0.21,0.0,63.89
כפר יונה,19357,14279,71,14208,429,72,108,97,3,10,1,0,0,0,1475,4,76,1,0,1,1945,0,469,4572,289,0,4,0,10,4,0,4,3798,3,35,3,3,1,5,2,67,2,712,3,25,3.02,0.51,0.76,0.68,0.02,0.07,0.01,0.0,0.0,0.0,10.38,0.03,0.53,0.01,0.0,0.01,13.69,0.0,3.3,32.18,2.03,0.0,0.03,0.0,0.07,0.03,0.0,0.03,26.73,0.02,0.25,0.02,0.02,0.01,0.04,0.01,0.47,0.01,5.01,0.02,73.77
כפר כמא,2685,946,16,930,79,1,1,0,4,26,0,0,0,0,2,1,7,0,0,0,206,0,17,28,87,0,1,0,0,0,0,184,268,1,7,1,0,0,0,2,3,0,3,1,25,8.49,0.11,0.11,0.0,0.43,2.8,0.0,0.0,0.0,0.0,0.22,0.11,0.75,0.0,0.0,0.0,22.15,0.0,1.83,3.01,9.35,0.0,0.11,0.0,0.0,0.0,0.0,19.78,28.82,0.11,0.75,0.11,0.0,0.0,0.0,0.22,0.32,0.0,0.32,0.11,35.23
כפר כנא,15877,8340,119,8221,21,3,2,3,3051,1823,0,0,0,2,9,2,3,1,1,2,34,2,3,197,52,1,3,0,1,0,1,2782,179,1,2,7,2,0,1,2,13,0,11,4,25,0.26,0.04,0.02,0.04,37.11,22.17,0.0,0.0,0.0,0.02,0.11,0.02,0.04,0.01,0.01,0.02,0.41,0.02,0.04,2.4,0.63,0.01,0.04,0.0,0.01,0.0,0.01,33.84,2.18,0.01,0.02,0.09,0.02,0.0,0.01,0.02,0.16,0.0,0.13,0.05,52.53
כפר מנדא,13756,8964,77,8887,11,1,1,4,3112,2628,0,2,0,3,9,2,1,3,2,4,5,3,1,38,150,1,0,1,3,2,1,2609,27,3,2,12,2,2,3,3,5,1,225,5,25,0.12,0.01,0.01,0.05,35.02,29.57,0.0,0.02,0.0,0.03,0.1,0.02,0.01,0.03,0.02,0.05,0.06,0.03,0.01,0.43,1.69,0.01,0.0,0.01,0.03,0.02,0.01,29.36,0.3,0.03,0.02,0.14,0.02,0.02,0.03,0.03,0.06,0.01,2.53,0.06,65.16
כפר סבא,81737,57122,219,56903,3734,249,627,269,17,124,4,3,0,3,3863,13,177,2,3,10,7264,2,2141,12387,2874,3,10,1,13,18,3,58,20571,19,83,3,22,0,10,13,298,1,2003,8,25,6.56,0.44,1.1,0.47,0.03,0.22,0.01,0.01,0.0,0.01,6.79,0.02,0.31,0.0,0.01,0.02,12.77,0.0,3.76,21.77,5.05,0.01,0.02,0.0,0.02,0.03,0.01,0.1,36.15,0.03,0.15,0.01,0.04,0.0,0.02,0.02,0.52,0.0,3.52,0.01,69.89
כפר קאסם,16449,11001,106,10895,23,0,1,3,1281,1424,1,0,2,1,4,0,0,0,1,2,39,6,2,32,591,0,2,2,1,2,0,7355,90,4,4,2,0,1,4,1,6,0,6,2,25,0.21,0.0,0.01,0.03,11.76,13.07,0.01,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.01,0.02,0.36,0.06,0.02,0.29,5.42,0.0,0.02,0.02,0.01,0.02,0.0,67.51,0.83,0.04,0.04,0.02,0.0,0.01,0.04,0.01,0.06,0.0,0.06,0.02,66.88
כפר קרע,13735,8544,55,8489,22,0,0,3,2355,1639,0,0,0,0,8,0,0,2,0,0,54,1,0,33,63,1,1,0,2,1,1,4269,10,0,0,8,1,1,1,1,7,0,5,0,25,0.26,0.0,0.0,0.04,27.74,19.31,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.02,0.0,0.0,0.64,0.01,0.0,0.39,0.74,0.01,0.01,0.0,0.02,0.01,0.01,50.29,0.12,0.0,0.0,0.09,0.01,0.01,0.01,0.01,0.08,0.0,0.06,0.0,62.21
כפר שמריהו,1948,1249,6,1243,75,0,10,4,1,5,0,0,0,0,31,0,0,0,1,0,191,0,46,162,102,0,0,0,0,0,0,7,599,0,0,0,0,0,0,0,3,0,6,0,25,6.03,0.0,0.8,0.32,0.08,0.4,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.08,0.0,15.37,0.0,3.7,13.03,8.21,0.0,0.0,0.0,0.0,0.0,0.0,0.56,48.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.48,0.0,64.12
כפר תבור,3529,2466,13,2453,177,7,37,3,3,9,0,0,0,0,205,0,10,0,0,1,500,1,69,545,73,0,0,0,0,2,0,4,727,1,4,1,2,0,7,0,25,0,40,0,25,7.22,0.29,1.51,0.12,0.12,0.37,0.0,0.0,0.0,0.0,8.36,0.0,0.41,0.0,0.0,0.04,20.38,0.04,2.81,22.22,2.98,0.0,0.0,0.0,0.0,0.08,0.0,0.16,29.64,0.04,0.16,0.04,0.08,0.0,0.29,0.0,1.02,0.0,1.63,0.0,69.88
כרמיאל,42065,24030,247,23783,543,80,200,872,160,217,0,3,0,2,1874,10,85,0,3,5,2049,3,3379,6988,321,4,5,1,16,11,3,97,5809,7,58,3,6,3,4,6,101,12,831,12,25,2.28,0.34,0.84,3.67,0.67,0.91,0.0,0.01,0.0,0.01,7.88,0.04,0.36,0.0,0.01,0.02,8.62,0.01,14.21,29.38,1.35,0.02,0.02,0.0,0.07,0.05,0.01,0.41,24.43,0.03,0.24,0.01,0.03,0.01,0.02,0.03,0.42,0.05,3.49,0.05,57.13
לב השרון,16494,11957,32,11925,881,38,94,63,4,25,1,1,0,1,1066,4,48,0,0,0,1793,0,161,2613,539,0,1,0,3,1,0,6,4082,4,24,1,1,0,0,1,60,13,396,0,25,7.39,0.32,0.79,0.53,0.03,0.21,0.01,0.01,0.0,0.01,8.94,0.03,0.4,0.0,0.0,0.0,15.04,0.0,1.35,21.91,4.52,0.0,0.01,0.0,0.03,0.01,0.0,0.05,34.23,0.03,0.2,0.01,0.01,0.0,0.0,0.01,0.5,0.11,3.32,0.0,72.49
להבים,5518,3906,4,3902,200,4,40,5,14,28,0,0,0,0,409,1,13,0,0,0,784,0,118,790,219,0,0,0,0,0,0,49,1188,0,7,0,0,0,0,1,6,0,26,0,25,5.13,0.1,1.03,0.13,0.36,0.72,0.0,0.0,0.0,0.0,10.48,0.03,0.33,0.0,0.0,0.0,20.09,0.0,3.02,20.25,5.61,0.0,0.0,0.0,0.0,0.0,0.0,1.26,30.45,0.0,0.18,0.0,0.0,0.0,0.0,0.03,0.15,0.0,0.67,0.0,70.79
לוד,58888,35735,347,35388,335,88,406,2132,5570,657,3,3,2,8,5484,7,90,2,3,6,1306,22,2049,10096,230,0,8,6,11,11,6,990,2335,20,75,23,11,2,11,11,53,12,3279,25,25,0.95,0.25,1.15,6.02,15.74,1.86,0.01,0.01,0.01,0.02,15.5,0.02,0.25,0.01,0.01,0.02,3.69,0.06,5.79,28.53,0.65,0.0,0.02,0.02,0.03,0.03,0.02,2.8,6.6,0.06,0.21,0.06,0.03,0.01,0.03,0.03,0.15,0.03,9.27,0.07,60.68
לכיש,8659,6725,20,6705,230,19,142,48,0,1,1,1,0,1,1788,4,13,0,0,0,757,0,63,1865,120,0,0,0,0,0,0,3,850,1,5,0,0,0,1,2,10,0,779,1,25,3.43,0.28,2.12,0.72,0.0,0.01,0.01,0.01,0.0,0.01,26.67,0.06,0.19,0.0,0.0,0.0,11.29,0.0,0.94,27.82,1.79,0.0,0.0,0.0,0.0,0.0,0.0,0.04,12.68,0.01,0.07,0.0,0.0,0.0,0.01,0.03,0.15,0.0,11.62,0.01,77.66
לקיה,8671,4115,32,4083,7,4,0,1,944,256,0,0,0,1,6,0,0,0,1,0,7,2,0,16,7,0,0,0,0,0,0,2790,13,1,2,5,3,0,3,1,4,0,5,4,25,0.17,0.1,0.0,0.02,23.12,6.27,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.0,0.02,0.0,0.17,0.05,0.0,0.39,0.17,0.0,0.0,0.0,0.0,0.0,0.0,68.33,0.32,0.02,0.05,0.12,0.07,0.0,0.07,0.02,0.1,0.0,0.12,0.1,47.46
מבואות החרמון,5877,4104,12,4092,277,12,51,31,0,5,0,0,0,1,443,2,16,0,0,0,699,0,56,1241,143,0,2,0,0,1,0,0,909,1,3,0,2,0,1,1,37,0,156,2,25,6.77,0.29,1.25,0.76,0.0,0.12,0.0,0.0,0.0,0.02,10.83,0.05,0.39,0.0,0.0,0.0,17.08,0.0,1.37,30.33,3.49,0.0,0.05,0.0,0.0,0.02,0.0,0.0,22.21,0.02,0.07,0.0,0.05,0.0,0.02,0.02,0.9,0.0,3.81,0.05,69.83
מבשרת ציון,19755,14091,40,14051,740,41,139,79,5,38,0,1,0,0,1587,3,29,0,0,4,1697,0,336,4553,925,0,1,0,0,2,1,13,3005,2,14,2,1,0,1,1,44,0,786,1,25,5.27,0.29,0.99,0.56,0.04,0.27,0.0,0.01,0.0,0.0,11.29,0.02,0.21,0.0,0.0,0.03,12.08,0.0,2.39,32.4,6.58,0.0,0.01,0.0,0.0,0.01,0.01,0.09,21.39,0.01,0.1,0.01,0.01,0.0,0.01,0.01,0.31,0.0,5.59,0.01,71.33
מג'ד אל-כרום,11017,7347,67,7280,8,1,2,4,3002,3335,2,1,0,1,7,0,0,1,3,0,15,3,1,22,36,0,0,0,7,1,1,781,10,1,3,13,3,1,3,1,5,0,5,1,25,0.11,0.01,0.03,0.05,41.24,45.81,0.03,0.01,0.0,0.01,0.1,0.0,0.0,0.01,0.04,0.0,0.21,0.04,0.01,0.3,0.49,0.0,0.0,0.0,0.1,0.01,0.01,10.73,0.14,0.01,0.04,0.18,0.04,0.01,0.04,0.01,0.07,0.0,0.07,0.01,66.69
מג'דל שמס,1338,313,1,312,6,2,1,0,2,1,6,0,0,0,0,0,0,0,0,0,40,0,35,45,27,0,0,0,0,0,0,2,133,0,1,0,0,0,0,0,0,0,11,0,25,1.92,0.64,0.32,0.0,0.64,0.32,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82,0.0,11.22,14.42,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.64,42.63,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53,0.0,23.39
מג'אר,17008,7489,112,7377,199,4,64,1,274,1340,2,0,0,0,16,111,7,5,0,0,662,0,982,544,371,3,4,0,1,2,1,2053,435,3,5,5,2,0,1,15,5,4,254,2,25,2.7,0.05,0.87,0.01,3.71,18.16,0.03,0.0,0.0,0.0,0.22,1.5,0.09,0.07,0.0,0.0,8.97,0.0,13.31,7.37,5.03,0.04,0.05,0.0,0.01,0.03,0.01,27.83,5.9,0.04,0.07,0.07,0.03,0.0,0.01,0.2,0.07,0.05,3.44,0.03,44.03
מגדל,1469,978,2,976,12,3,18,18,3,4,0,0,0,0,181,0,4,0,0,0,53,0,13,399,6,0,0,0,1,0,0,3,61,0,4,1,0,0,0,0,1,0,190,1,25,1.23,0.31,1.84,1.84,0.31,0.41,0.0,0.0,0.0,0.0,18.55,0.0,0.41,0.0,0.0,0.0,5.43,0.0,1.33,40.88,0.61,0.0,0.0,0.0,0.1,0.0,0.0,0.31,6.25,0.0,0.41,0.1,0.0,0.0,0.0,0.0,0.1,0.0,19.47,0.1,66.58
מגדל העמק,22031,14094,121,13973,181,34,71,214,3,4,1,0,0,0,1772,2,39,1,0,0,731,0,1859,5231,67,0,6,0,2,3,1,2,1296,4,22,4,4,0,3,4,27,5,2366,14,25,1.3,0.24,0.51,1.53,0.02,0.03,0.01,0.0,0.0,0.0,12.68,0.01,0.28,0.01,0.0,0.0,5.23,0.0,13.3,37.44,0.48,0.0,0.04,0.0,0.01,0.02,0.01,0.01,9.28,0.03,0.16,0.03,0.03,0.0,0.02,0.03,0.19,0.04,16.93,0.1,63.97
מגידו,9490,6789,12,6777,988,13,28,25,3,16,0,0,0,1,336,2,14,0,1,0,788,0,134,841,1059,0,1,0,0,6,1,9,2298,5,9,1,1,1,2,0,46,0,147,1,25,14.58,0.19,0.41,0.37,0.04,0.24,0.0,0.0,0.0,0.01,4.96,0.03,0.21,0.0,0.01,0.0,11.63,0.0,1.98,12.41,15.63,0.0,0.01,0.0,0.0,0.09,0.01,0.13,33.91,0.07,0.13,0.01,0.01,0.01,0.03,0.0,0.68,0.0,2.17,0.01,71.54
מודיעין-מכבים-רעות,69212,51695,150,51545,2776,279,1511,243,13,57,2,2,0,2,5360,6,174,0,0,4,8374,1,1722,11615,1970,1,17,2,11,7,2,30,15953,10,85,1,16,1,3,2,182,5,1099,7,25,5.39,0.54,2.93,0.47,0.03,0.11,0.0,0.0,0.0,0.0,10.4,0.01,0.34,0.0,0.0,0.01,16.25,0.0,3.34,22.53,3.82,0.0,0.03,0.0,0.02,0.01,0.0,0.06,30.95,0.02,0.16,0.0,0.03,0.0,0.01,0.0,0.35,0.01,2.13,0.01,74.69
מזכרת בתיה,11313,8510,27,8483,462,38,202,28,0,8,0,1,0,0,822,1,37,0,0,0,1453,1,170,2180,276,0,1,0,2,0,0,4,2502,1,20,0,2,1,1,2,29,0,239,0,25,5.45,0.45,2.38,0.33,0.0,0.09,0.0,0.01,0.0,0.0,9.69,0.01,0.44,0.0,0.0,0.0,17.13,0.01,2.0,25.7,3.25,0.0,0.01,0.0,0.02,0.0,0.0,0.05,29.49,0.01,0.24,0.0,0.02,0.01,0.01,0.02,0.34,0.0,2.82,0.0,75.22
מזרעה,3035,1955,16,1939,2,1,0,0,558,736,0,0,0,0,8,0,0,1,1,0,2,1,2,11,24,0,0,0,1,0,1,565,17,1,0,2,0,1,1,0,1,0,2,0,25,0.1,0.05,0.0,0.0,28.78,37.96,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.05,0.05,0.0,0.1,0.05,0.1,0.57,1.24,0.0,0.0,0.0,0.05,0.0,0.05,29.14,0.88,0.05,0.0,0.1,0.0,0.05,0.05,0.0,0.05,0.0,0.1,0.0,64.42
מטה אשר,23063,15659,58,15601,1580,36,89,51,430,582,1,2,0,2,874,1,51,0,1,0,2178,3,221,2425,1552,2,8,1,4,9,1,567,4526,7,18,7,8,2,3,4,112,0,237,6,25,10.13,0.23,0.57,0.33,2.76,3.73,0.01,0.01,0.0,0.01,5.6,0.01,0.33,0.0,0.01,0.0,13.96,0.02,1.42,15.54,9.95,0.01,0.05,0.01,0.03,0.06,0.01,3.63,29.01,0.04,0.12,0.04,0.05,0.01,0.02,0.03,0.72,0.0,1.52,0.04,67.9
מטה יהודה,39371,28394,89,28305,2015,119,544,295,349,863,1,0,0,1,3372,11,69,2,0,4,3383,2,536,7423,1782,0,7,0,2,12,4,437,5280,13,32,2,7,3,5,3,184,1,1531,11,25,7.12,0.42,1.92,1.04,1.23,3.05,0.0,0.0,0.0,0.0,11.91,0.04,0.24,0.01,0.0,0.01,11.95,0.01,1.89,26.23,6.3,0.0,0.02,0.0,0.01,0.04,0.01,1.54,18.65,0.05,0.11,0.01,0.02,0.01,0.02,0.01,0.65,0.0,5.41,0.04,72.12
מטולה,1511,820,4,816,70,5,14,1,0,1,0,0,0,0,60,0,6,0,0,0,242,0,24,124,39,0,0,0,0,0,0,0,215,1,2,0,1,0,1,0,4,0,6,0,25,8.58,0.61,1.72,0.12,0.0,0.12,0.0,0.0,0.0,0.0,7.35,0.0,0.74,0.0,0.0,0.0,29.66,0.0,2.94,15.2,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.35,0.12,0.25,0.0,0.12,0.0,0.12,0.0,0.49,0.0,0.74,0.0,54.27
מיתר,8021,5806,13,5793,255,26,167,33,18,21,0,0,0,0,972,0,17,0,0,0,1012,0,112,1414,157,0,2,0,0,1,0,19,1453,3,7,1,2,0,0,3,12,1,83,2,25,4.4,0.45,2.88,0.57,0.31,0.36,0.0,0.0,0.0,0.0,16.78,0.0,0.29,0.0,0.0,0.0,17.47,0.0,1.93,24.41,2.71,0.0,0.03,0.0,0.0,0.02,0.0,0.33,25.08,0.05,0.12,0.02,0.03,0.0,0.0,0.05,0.21,0.02,1.43,0.03,72.38
מנשה,15137,10382,41,10341,1124,28,200,25,425,452,0,0,0,0,573,4,31,0,2,0,1305,0,174,924,1312,1,0,0,1,2,1,308,3266,2,10,1,5,0,2,3,89,0,67,4,25,10.87,0.27,1.93,0.24,4.11,4.37,0.0,0.0,0.0,0.0,5.54,0.04,0.3,0.0,0.02,0.0,12.62,0.0,1.68,8.94,12.69,0.01,0.0,0.0,0.01,0.02,0.01,2.98,31.58,0.02,0.1,0.01,0.05,0.0,0.02,0.03,0.86,0.0,0.65,0.04,68.59
מסעדה,461,104,3,101,1,0,1,0,0,2,40,0,0,0,5,0,0,0,0,0,11,0,12,13,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,2,1,25,0.99,0.0,0.99,0.0,0.0,1.98,39.6,0.0,0.0,0.0,4.95,0.0,0.0,0.0,0.0,0.0,10.89,0.0,11.88,12.87,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.99,22.56
מעיליא,2616,1741,17,1724,17,1,0,1,427,821,0,0,0,0,1,0,1,1,0,0,32,4,0,25,199,0,0,0,0,0,0,15,177,0,0,0,0,0,0,1,0,0,1,0,25,0.99,0.06,0.0,0.06,24.77,47.62,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.0,1.86,0.23,0.0,1.45,11.54,0.0,0.0,0.0,0.0,0.0,0.0,0.87,10.27,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,66.55
מעלה יוסף,8388,5944,21,5923,211,12,56,30,1,9,2,0,0,2,957,2,21,0,0,0,609,0,73,2429,163,0,0,0,1,0,0,0,762,3,14,0,3,0,2,1,31,2,527,0,25,3.56,0.2,0.95,0.51,0.02,0.15,0.03,0.0,0.0,0.03,16.16,0.03,0.35,0.0,0.0,0.0,10.28,0.0,1.23,41.01,2.75,0.0,0.0,0.0,0.02,0.0,0.0,0.0,12.87,0.05,0.24,0.0,0.05,0.0,0.03,0.02,0.52,0.03,8.9,0.0,70.86
מעלה עירון,10678,4599,57,4542,22,2,1,3,1970,1080,0,0,1,1,5,1,0,1,1,1,10,3,9,38,89,0,0,0,4,2,1,1010,36,0,0,5,3,2,0,2,4,2,231,2,25,0.48,0.04,0.02,0.07,43.37,23.78,0.0,0.0,0.02,0.02,0.11,0.02,0.0,0.02,0.02,0.02,0.22,0.07,0.2,0.84,1.96,0.0,0.0,0.0,0.09,0.04,0.02,22.24,0.79,0.0,0.0,0.11,0.07,0.04,0.0,0.04,0.09,0.04,5.09,0.04,43.07
