municipality,right_avg,right_std,haredi_avg,haredi_std,center_avg,center_std,left_avg,left_std,arab_avg,arab_std,avg_votes,dominant_bloc,left_right_score,religious_score
חבל אילות,17.349435692885727,1.519565675213494,0.8120056507588457,0.21288861422426023,46.5437202769268,6.155854461659135,32.914943284219916,5.595635614962606,0.8411067021209183,0.40203213218696954,2168.2,center,-15.565507591334189,1.232559001819305
חבל יבנה,68.23127788510601,8.731629410227574,8.804237793107424,1.3700573601981874,12.144522227974978,2.4397184891616592,2.5801680102280624,0.8377448526821738,0.04961513510021268,0.04813317727144938,2843.8,right,65.65110987487795,8.82904536065753
חבל מודיעין,45.864550337576354,3.3424217350165204,5.952630728762658,1.2723057033658287,33.30799936080334,3.4965169105871707,9.706880323720217,2.083633755388054,0.2027465882936319,0.08689155618884033,11833.6,right,36.15767001385613,6.054004022909474
חדרה,54.21578065931228,2.3977134278690526,9.055377391850413,0.9350653610767381,29.022561870263225,2.8057976393219257,5.34325903013842,1.2649386266904763,0.2937610224576198,0.11337200592213564,47542.0,right,48.87252162917386,9.202257903079223
חולון,49.51816171460947,1.8950821254459538,10.275389022624928,1.1305442814533058,32.38120998200735,2.4437324918718923,5.912773448367554,1.3735759914455272,0.10883369224374535,0.0320086149656019,100249.2,right,43.60538826624192,10.329805868746801
חוף אשקלון,47.51881916707748,3.946684608756283,6.899047522064571,1.2606852657757932,29.929551159763342,2.7418744446480026,10.732136714752249,1.9258722350272603,0.15576175780861953,0.038226974798006116,9447.0,right,36.78668245232523,6.97692840096888
חוף הכרמל,28.37465471381655,1.2302067484149424,2.4142890244355186,0.4101932590431932,48.83481569277385,3.8200921388472615,17.368065055976636,3.559919162164426,0.9590745777229344,0.35925697079003927,16635.6,center,11.006589657839914,2.893826313296986
חוף השרון,14.34262173606055,0.8040511540318964,0.8195436289255251,0.1555995184026109,57.33098108239691,5.937742772637259,25.31486722492,5.532019943847718,0.4017245605552716,0.18771912362119605,6569.6,center,-10.97224548885945,1.020405909203161
חורה,3.2606955610499666,1.9138680272810056,0.43659330667194407,0.4205288964677233,2.3081392412143327,1.9133332618037129,3.9108455415302514,3.3896209512662563,88.60435561282668,5.525746523143772,3554.8,arab,-0.6501499804802848,44.738771113085285
חורפיש,25.798126486686975,6.070166607127479,4.190859992200274,1.9039315412341828,47.69439888560972,8.253466150529555,12.803805679235321,5.088687733036982,5.915392218179212,3.1028608091023417,2386.4,center,12.994320807451654,7.14855610128988
חיפה,37.79288823374106,2.1544939465950463,6.460102104635159,0.4645639003311653,35.303768221575005,2.400563191810657,10.184300585470833,1.9437684980442957,8.405891308756084,1.476431959389528,141995.0,right,27.608587648270227,10.663047759013201
חצור הגלילית,59.65468519560661,3.1236866826596654,28.81987380923939,2.4374197090186156,7.767249384814457,1.858717085991652,1.6304974869171236,0.7135852898083723,0.07493810527919292,0.05513025566428717,4964.2,right,58.02418770868949,28.857342861878987
חריש,51.704394620998315,5.968253707578092,16.251506781268382,2.9488781508441844,22.07971420177306,2.250391775899219,4.756693799542765,1.3336996112113702,0.7712657981614444,0.37173053838586273,6482.4,right,46.94770082145555,16.637139680349105
טבריה,57.86132061427007,2.700163258447822,25.71146678587358,2.077107457578882,12.035459153378344,1.8775148784934843,1.8534217923315854,0.7301587624350053,0.13582224448701288,0.04784654919217687,20903.0,right,56.00789882193848,25.779377908117084
טובא-זנגריה,6.003579110718985,6.821401670624316,1.1389884320002908,0.8968392220493081,18.584398961339566,15.537314039650905,5.505439561256322,4.206798544074403,65.2263655318182,20.75079302840177,1821.8,arab,0.49813954946266303,33.75217119790939
טורעאן,1.3076864288677044,0.6855130398866599,0.7371105869971845,0.794898535356088,2.012156097973446,1.399850542454802,2.3360403961667804,1.6617602760273973,92.73357769158457,2.963577791364645,5000.8,arab,-1.028353967299076,47.10389943278947
טייבה,0.440445105009999,0.19740968793581345,0.3610947441881974,0.22683036443117863,0.9498750374108044,0.44031483420813833,3.528896041353363,2.5377909984776585,94.2880408294217,3.2398216289505646,17036.2,arab,-3.088450936343364,47.50511515889905
טירה,0.5447185720055204,0.26804313170598815,0.1088589659649438,0.05145987621762855,2.888455099516935,1.5484909338869537,7.5914747836848635,8.844076548244102,88.3154069586984,9.977836620137817,11274.8,arab,-7.046756211679343,44.26656244531414
טירת כרמל,64.5417558319443,2.3240853178172056,10.638284239168462,1.0570532979860146,19.824378606581796,2.9667958851188287,2.85659149944821,0.9629711019681201,0.13438960722055793,0.08086076755391661,12699.4,right,61.68516433249609,10.705479042778741
טמרה,0.5300861277284458,0.19311982153258794,1.0206309898346266,1.1134745500217007,1.557181876602094,1.1317787134041775,2.2118932715973374,2.3399650877039018,92.43313358125013,7.586483038698798,15063.8,arab,-1.6818071438688915,47.237197780459695
יאנוח - ג'ת,45.37673508723305,8.393270394113046,4.438424684448217,2.7075501250458256,35.90773088449528,3.698510730514163,5.102370243087167,2.232452913686126,3.5954660507203213,2.189179130267862,2358.2,right,40.274364844145886,6.236157709808378
יבנאל,30.872872044954494,3.6651712618412877,44.782260805357105,3.729177758149257,17.790881528213042,3.2555279189866884,3.3208006752610446,1.054211292266671,0.21347042498907748,0.1090853408118844,1747.8,haredi,27.55207136969345,44.888996017851646
יבנה,51.2745324242721,2.0912982468277344,11.099999744310725,1.3479183073532386,30.856663118952135,2.2592760114988804,4.6457776936514374,1.288770792383227,0.06847737554042008,0.019142838926073658,25408.2,right,46.62875473062066,11.134238432080936
יהוד -מונסון,43.65585304435491,1.826791047614055,4.551181402234467,0.646280057529027,41.8070751582668,2.277821935113977,8.129845740355567,2.029243429755917,0.11390531875833129,0.050188717774127894,17151.8,right,35.52600730399935,4.608134061613632
יואב,16.022854609018346,0.8657949349919638,2.0555346247577195,0.47849077274920426,48.947389547233534,5.397917492995373,30.400652502294257,4.933082835280149,0.45641422768363177,0.25025317573821615,4541.4,center,-14.377797893275911,2.2837417385995353
