municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
יואב,6160,4556,15,4541,827,146,13,11,0,3,69,0,50,0,0,0,0,0,2,601,90,492,940,0,0,0,0,995,1,1,0,0,0,0,0,0,0,30,0,0,0,72,198,0.0,24,18.21,3.22,0.29,0.24,0.0,0.07,1.52,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.04,13.23,1.98,10.83,20.7,0.0,0.0,0.0,0.0,21.91,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1.59,4.36,0.0,73.96
יסוד המעלה,1301,917,0,917,113,57,1,1,0,0,47,0,16,0,0,0,0,0,1,195,26,179,53,0,0,0,0,156,0,0,0,0,0,0,0,0,1,2,0,0,0,5,64,0.0,24,12.32,6.22,0.11,0.11,0.0,0.0,5.13,0.0,1.74,0.0,0.0,0.0,0.0,0.0,0.11,21.26,2.84,19.52,5.78,0.0,0.0,0.0,0.0,17.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.22,0.0,0.0,0.0,0.55,6.98,0.0,70.48
יפיע,13420,5664,78,5586,65,0,0,3356,0,1,1,0,6,5,0,1,0,0,0,12,1,305,181,2,0,0,1504,42,0,0,1,1,1,0,2,3,2,2,2,0,0,3,87,0.0,24,1.16,0.0,0.0,60.08,0.0,0.02,0.02,0.0,0.11,0.09,0.0,0.02,0.0,0.0,0.0,0.21,0.02,5.46,3.24,0.04,0.0,0.0,26.92,0.75,0.0,0.0,0.02,0.02,0.02,0.0,0.04,0.05,0.04,0.04,0.04,0.0,0.0,0.05,1.56,0.0,42.21
יקנעם עילית,18454,12396,63,12333,642,878,71,4,0,0,338,2,146,0,0,0,0,2,11,876,1274,4044,309,0,1,0,1,2243,7,0,1,1,1,0,0,0,1,73,8,0,0,488,911,0.0,24,5.21,7.12,0.58,0.03,0.0,0.0,2.74,0.02,1.18,0.0,0.0,0.0,0.0,0.02,0.09,7.1,10.33,32.79,2.51,0.0,0.01,0.0,0.01,18.19,0.06,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.59,0.06,0.0,0.0,3.96,7.39,0.0,67.17
ירוחם,7650,4787,60,4727,110,495,315,9,1,0,343,0,12,0,0,0,0,0,2,217,287,1890,57,2,1,0,56,167,1,0,1,0,0,1,0,0,1,23,1,1,0,552,182,0.0,24,2.33,10.47,6.66,0.19,0.02,0.0,7.26,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.04,4.59,6.07,39.98,1.21,0.04,0.02,0.0,1.18,3.53,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.49,0.02,0.02,0.0,11.68,3.85,0.0,62.58
ירושלים,423130,250088,1439,248649,9846,16529,58585,2763,17,13,23039,44,1058,10,7,46,5,31,36,8181,4886,51238,9177,19,20,5,386,13960,50,12,6,5,13,12,14,15,36,879,46,62,0,39151,8447,0.0,24,3.96,6.65,23.56,1.11,0.01,0.01,9.27,0.02,0.43,0.0,0.0,0.02,0.0,0.01,0.01,3.29,1.97,20.61,3.69,0.01,0.01,0.0,0.16,5.61,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.35,0.02,0.02,0.0,15.75,3.4,0.0,59.1
ירכא,11014,5614,92,5522,71,26,2,478,0,0,1,1,9,0,0,1,1,0,3,146,1777,1945,257,0,1,0,10,337,0,2,1,1,0,3,1,0,2,2,2,2,0,364,76,0.0,24,1.29,0.47,0.04,8.66,0.0,0.0,0.02,0.02,0.16,0.0,0.0,0.02,0.02,0.0,0.05,2.64,32.18,35.22,4.65,0.0,0.02,0.0,0.18,6.1,0.0,0.04,0.02,0.02,0.0,0.05,0.02,0.0,0.04,0.04,0.04,0.04,0.0,6.59,1.38,0.0,50.97
כאבול,8328,5247,42,5205,3,1,1,2787,0,0,0,0,3,3,0,0,1,0,0,1,7,28,21,0,1,0,2326,11,0,0,0,2,0,1,0,0,0,1,0,0,0,5,2,0.0,24,0.06,0.02,0.02,53.54,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.02,0.0,0.0,0.02,0.13,0.54,0.4,0.0,0.02,0.0,44.69,0.21,0.0,0.0,0.0,0.04,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.1,0.04,0.0,63.0
כאוכב אבו אל-היג'א,2712,1522,15,1507,0,0,0,800,0,0,0,0,0,1,0,0,0,0,0,0,3,18,7,0,0,0,673,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,24,0.0,0.0,0.0,53.09,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.19,0.46,0.0,0.0,0.0,44.66,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.0,56.12
כוכב יאיר,7746,5833,9,5824,784,558,8,5,0,0,141,2,41,0,0,0,0,1,1,721,226,772,482,0,0,0,3,1692,1,1,0,0,0,0,0,0,0,21,2,0,0,19,343,0.0,24,13.46,9.58,0.14,0.09,0.0,0.0,2.42,0.03,0.7,0.0,0.0,0.0,0.0,0.02,0.02,12.38,3.88,13.26,8.28,0.0,0.0,0.0,0.05,29.05,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.03,0.0,0.0,0.33,5.89,0.0,75.3
כסייפה,8910,4171,42,4129,4,2,0,919,0,2,0,0,9,1,1,0,1,0,1,8,2,81,54,0,0,1,2753,137,1,1,0,1,1,0,0,1,4,1,2,0,0,12,129,0.0,24,0.1,0.05,0.0,22.26,0.0,0.05,0.0,0.0,0.22,0.02,0.02,0.0,0.02,0.0,0.02,0.19,0.05,1.96,1.31,0.0,0.0,0.02,66.67,3.32,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.1,0.02,0.05,0.0,0.0,0.29,3.12,0.0,46.81
כסרא - סמיע,5857,3658,63,3595,84,11,1,137,0,0,2,0,1,1,1,3,0,0,1,211,681,1687,82,1,0,0,9,154,0,0,0,1,0,0,0,1,0,2,0,1,0,146,377,0.0,24,2.34,0.31,0.03,3.81,0.0,0.0,0.06,0.0,0.03,0.03,0.03,0.08,0.0,0.0,0.03,5.87,18.94,46.93,2.28,0.03,0.0,0.0,0.25,4.28,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.06,0.0,0.03,0.0,4.06,10.49,0.0,62.46
כעביה - טבאש - חג'אג'רה,3807,1540,8,1532,11,1,0,185,0,0,1,0,4,0,0,0,1,0,2,11,0,212,37,0,1,0,1021,18,1,0,1,0,0,1,1,0,0,0,0,0,0,5,18,0.0,24,0.72,0.07,0.0,12.08,0.0,0.0,0.07,0.0,0.26,0.0,0.0,0.0,0.07,0.0,0.13,0.72,0.0,13.84,2.42,0.0,0.07,0.0,66.64,1.17,0.07,0.0,0.07,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1.17,0.0,40.45
כפר ברא,2453,1361,10,1351,2,23,0,170,0,0,0,0,4,0,0,0,0,0,0,1,0,24,77,0,0,0,1042,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,24,0.15,1.7,0.0,12.58,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.78,5.7,0.0,0.0,0.0,77.13,0.44,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,55.48
כפר ורדים,4708,3259,11,3248,506,133,1,41,0,0,48,0,61,0,0,2,0,0,1,380,119,392,400,0,0,0,0,839,2,0,0,0,0,0,0,0,0,22,0,0,0,6,295,0.0,24,15.58,4.09,0.03,1.26,0.0,0.0,1.48,0.0,1.88,0.0,0.0,0.06,0.0,0.0,0.03,11.7,3.66,12.07,12.32,0.0,0.0,0.0,0.0,25.83,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.18,9.08,0.0,69.22
כפר יאסיף,8071,4543,44,4499,22,12,0,3238,0,1,0,0,10,4,0,0,0,0,0,9,27,186,263,0,1,1,464,72,0,0,1,0,0,1,1,0,2,7,1,0,0,13,163,0.0,24,0.49,0.27,0.0,71.97,0.0,0.02,0.0,0.0,0.22,0.09,0.0,0.0,0.0,0.0,0.0,0.2,0.6,4.13,5.85,0.0,0.02,0.02,10.31,1.6,0.0,0.0,0.02,0.0,0.0,0.02,0.02,0.0,0.04,0.16,0.02,0.0,0.0,0.29,3.62,0.0,56.29
כפר יונה,17539,12535,54,12481,776,897,82,14,1,0,340,3,173,0,1,0,2,3,3,1138,464,3943,399,1,0,1,1,2764,2,0,1,0,0,1,0,0,0,59,6,6,0,495,905,0.0,24,6.22,7.19,0.66,0.11,0.01,0.0,2.72,0.02,1.39,0.0,0.01,0.0,0.02,0.02,0.02,9.12,3.72,31.59,3.2,0.01,0.0,0.01,0.01,22.15,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.47,0.05,0.05,0.0,3.97,7.25,0.0,71.47
כפר כמא,2642,871,13,858,171,2,0,32,0,0,0,0,26,0,0,0,0,1,0,173,20,77,97,0,0,1,26,172,1,0,0,0,0,0,0,0,1,3,1,0,0,4,50,0.0,24,19.93,0.23,0.0,3.73,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.12,0.0,20.16,2.33,8.97,11.31,0.0,0.0,0.12,3.03,20.05,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.35,0.12,0.0,0.0,0.47,5.83,0.0,32.97
כפר כנא,15189,7311,101,7210,19,4,0,3501,0,1,1,0,172,4,1,0,1,0,2,4,6,267,79,0,1,1,3054,40,0,1,0,1,0,0,1,1,1,0,0,1,0,27,19,0.0,24,0.26,0.06,0.0,48.56,0.0,0.01,0.01,0.0,2.39,0.06,0.01,0.0,0.01,0.0,0.03,0.06,0.08,3.7,1.1,0.0,0.01,0.01,42.36,0.55,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.37,0.26,0.0,48.13
כפר מנדא,13137,7313,72,7241,7,1,1,2452,1,0,2,0,45,7,0,0,4,0,2,20,4,212,180,2,1,2,3883,49,0,1,1,1,1,0,0,3,4,0,0,0,0,314,41,0.0,24,0.1,0.01,0.01,33.86,0.01,0.0,0.03,0.0,0.62,0.1,0.0,0.0,0.06,0.0,0.03,0.28,0.06,2.93,2.49,0.03,0.01,0.03,53.63,0.68,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.0,4.34,0.57,0.0,55.67
כפר סבא,81178,56750,159,56591,5932,3261,241,85,8,7,1538,14,518,1,1,11,3,3,16,6217,2553,11874,4181,7,3,1,17,14866,6,1,2,0,2,3,3,9,6,225,19,8,0,1559,3390,0.0,24,10.48,5.76,0.43,0.15,0.01,0.01,2.72,0.02,0.92,0.0,0.0,0.02,0.01,0.01,0.03,10.99,4.51,20.98,7.39,0.01,0.01,0.0,0.03,26.27,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.4,0.03,0.01,0.0,2.75,5.99,0.0,69.91
כפר קאסם,15663,8811,145,8666,32,5,0,1321,0,1,10,0,6,4,2,1,1,0,2,24,3,82,1689,0,1,1,5434,24,2,0,1,1,1,1,3,0,1,0,1,3,0,4,5,0.0,24,0.37,0.06,0.0,15.24,0.0,0.01,0.12,0.0,0.07,0.05,0.02,0.01,0.01,0.0,0.02,0.28,0.03,0.95,19.49,0.0,0.01,0.01,62.7,0.28,0.02,0.0,0.01,0.01,0.01,0.01,0.03,0.0,0.01,0.0,0.01,0.03,0.0,0.05,0.06,0.0,56.25
כפר קרע,13230,6026,53,5973,15,2,1,3229,0,0,0,0,5,3,1,0,0,0,0,3,3,80,283,0,0,1,2143,43,0,0,0,0,9,0,0,1,2,4,0,2,0,131,12,0.0,24,0.25,0.03,0.02,54.06,0.0,0.0,0.0,0.0,0.08,0.05,0.02,0.0,0.0,0.0,0.0,0.05,0.05,1.34,4.74,0.0,0.0,0.02,35.88,0.72,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.02,0.03,0.07,0.0,0.03,0.0,2.19,0.2,0.0,45.55
כפר שמריהו,1909,1235,3,1232,131,36,3,3,0,0,13,0,4,0,0,0,0,0,0,222,71,162,138,0,0,0,5,402,0,0,0,0,0,0,0,0,0,2,0,0,0,1,39,0.0,24,10.63,2.92,0.24,0.24,0.0,0.0,1.06,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,18.02,5.76,13.15,11.2,0.0,0.0,0.0,0.41,32.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.08,3.17,0.0,64.69
כפר תבור,3448,2435,5,2430,275,155,4,7,0,0,63,0,24,1,0,0,0,0,0,370,87,510,137,0,0,0,3,576,1,0,0,0,0,0,0,0,0,26,3,0,0,25,163,0.0,24,11.32,6.38,0.16,0.29,0.0,0.0,2.59,0.0,0.99,0.04,0.0,0.0,0.0,0.0,0.0,15.23,3.58,20.99,5.64,0.0,0.0,0.0,0.12,23.7,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.12,0.0,0.0,1.03,6.71,0.0,70.62
כרמיאל,41375,23411,179,23232,886,1316,752,238,7,1,460,8,198,0,0,11,0,3,8,1086,4188,6637,465,4,0,1,77,4361,17,3,0,2,4,8,1,4,5,165,3,5,0,653,1655,0.0,24,3.81,5.66,3.24,1.02,0.03,0.0,1.98,0.03,0.85,0.0,0.0,0.05,0.0,0.01,0.03,4.67,18.03,28.57,2.0,0.02,0.0,0.0,0.33,18.77,0.07,0.01,0.0,0.01,0.02,0.03,0.0,0.02,0.02,0.71,0.01,0.02,0.0,2.81,7.12,0.0,56.58
לב השרון,16136,11760,26,11734,1375,690,46,15,1,9,363,3,113,0,0,0,0,1,1,1568,267,2504,841,1,1,1,2,2950,1,1,1,0,0,0,0,1,0,78,0,1,0,324,575,0.0,24,11.72,5.88,0.39,0.13,0.01,0.08,3.09,0.03,0.96,0.0,0.0,0.0,0.0,0.01,0.01,13.36,2.28,21.34,7.17,0.01,0.01,0.01,0.02,25.14,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.66,0.0,0.01,0.0,2.76,4.9,0.0,72.88
להבים,5160,3785,4,3781,362,298,3,33,0,0,74,0,31,0,0,0,0,0,1,585,97,788,290,0,0,0,25,893,3,0,0,0,0,0,0,0,0,4,0,0,0,18,276,0.0,24,9.57,7.88,0.08,0.87,0.0,0.0,1.96,0.0,0.82,0.0,0.0,0.0,0.0,0.0,0.03,15.47,2.57,20.84,7.67,0.0,0.0,0.0,0.66,23.62,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.48,7.3,0.0,73.35
לוד,57343,30487,302,30185,514,1860,1173,2712,4,2,2258,6,198,2,4,4,5,6,17,775,2563,10360,329,7,4,3,1383,1980,11,6,1,0,3,8,10,11,11,150,11,4,0,2526,1264,0.0,24,1.7,6.16,3.89,8.98,0.01,0.01,7.48,0.02,0.66,0.01,0.01,0.01,0.02,0.02,0.06,2.57,8.49,34.32,1.09,0.02,0.01,0.01,4.58,6.56,0.04,0.02,0.0,0.0,0.01,0.03,0.03,0.04,0.04,0.5,0.04,0.01,0.0,8.37,4.19,0.0,53.17
לכיש,8263,6218,9,6209,362,609,28,3,1,2,1023,0,40,0,0,0,0,0,0,542,76,1867,196,0,0,0,1,578,0,0,1,0,0,0,0,0,0,24,0,0,0,573,283,0.0,24,5.83,9.81,0.45,0.05,0.02,0.03,16.48,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,8.73,1.22,30.07,3.16,0.0,0.0,0.0,0.02,9.31,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,9.23,4.56,0.0,75.25
לקיה,8003,3206,32,3174,5,0,0,1270,0,0,0,0,0,2,1,2,1,0,0,0,2,61,25,0,1,0,1786,3,0,0,0,1,0,0,0,1,1,0,0,0,0,1,11,0.0,24,0.16,0.0,0.0,40.01,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.06,0.03,0.0,0.0,0.0,0.06,1.92,0.79,0.0,0.03,0.0,56.27,0.09,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.35,0.0,40.06
מבואות החרמון,5673,3871,16,3855,428,290,12,3,1,0,116,1,50,0,0,0,1,1,1,510,100,1076,194,2,0,0,0,640,0,1,0,0,0,0,0,0,0,32,4,0,0,92,300,0.0,24,11.1,7.52,0.31,0.08,0.03,0.0,3.01,0.03,1.3,0.0,0.0,0.0,0.03,0.03,0.03,13.23,2.59,27.91,5.03,0.05,0.0,0.0,0.0,16.6,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.1,0.0,0.0,2.39,7.78,0.0,68.24
מבשרת ציון,19158,13356,25,13331,1056,776,50,28,1,1,609,4,102,0,0,3,1,2,5,1339,335,4255,1192,1,0,0,2,2146,1,0,0,0,0,0,2,1,1,26,8,0,0,659,725,0.0,24,7.92,5.82,0.38,0.21,0.01,0.01,4.57,0.03,0.77,0.0,0.0,0.02,0.01,0.02,0.04,10.04,2.51,31.92,8.94,0.01,0.0,0.0,0.02,16.1,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.2,0.06,0.0,0.0,4.94,5.44,0.0,69.72
מג'ד אל-כרום,10661,5757,16,5741,22,1,0,4525,0,0,0,0,2,3,1,0,1,1,1,4,2,57,107,0,0,1,976,7,3,1,0,1,1,2,1,1,1,0,0,0,0,18,1,0.0,24,0.38,0.02,0.0,78.82,0.0,0.0,0.0,0.0,0.03,0.05,0.02,0.0,0.02,0.02,0.02,0.07,0.03,0.99,1.86,0.0,0.0,0.02,17.0,0.12,0.05,0.02,0.0,0.02,0.02,0.03,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.31,0.02,0.0,54.0
מג'דל שמס,962,169,1,168,10,1,0,3,1,0,0,0,0,2,0,0,0,0,0,24,15,65,6,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0.0,24,5.95,0.6,0.0,1.79,0.6,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,14.29,8.93,38.69,3.57,0.0,0.0,0.0,1.19,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.79,0.0,17.57
מג'אר,16438,7132,78,7054,160,205,4,1878,2,1,4,0,15,2,0,0,2,0,6,184,916,596,305,2,2,1,1751,378,0,1,3,5,2,2,0,0,2,7,0,0,0,298,320,0.0,24,2.27,2.91,0.06,26.62,0.03,0.01,0.06,0.0,0.21,0.03,0.0,0.0,0.03,0.0,0.09,2.61,12.99,8.45,4.32,0.03,0.03,0.01,24.82,5.36,0.0,0.01,0.04,0.07,0.03,0.03,0.0,0.0,0.03,0.1,0.0,0.0,0.0,4.22,4.54,0.0,43.39
מגדל,1435,899,7,892,19,49,15,4,0,0,83,0,8,0,0,0,0,0,0,37,18,424,12,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,133,41,0.0,24,2.13,5.49,1.68,0.45,0.0,0.0,9.3,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.15,2.02,47.53,1.35,0.0,0.0,0.0,0.0,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91,4.6,0.0,62.65
מגדל העמק,21363,12935,103,12832,252,520,186,5,1,0,805,2,74,1,0,2,0,2,3,385,2097,4873,86,2,1,0,2,889,2,0,0,1,0,1,2,0,2,54,4,2,0,1995,581,0.0,24,1.96,4.05,1.45,0.04,0.01,0.0,6.27,0.02,0.58,0.01,0.0,0.02,0.0,0.02,0.02,3.0,16.34,37.98,0.67,0.02,0.01,0.0,0.02,6.93,0.02,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.02,0.42,0.03,0.02,0.0,15.55,4.53,0.0,60.55
מגידו,9220,6688,10,6678,1343,205,26,14,0,5,101,1,38,0,0,0,0,2,1,708,152,833,1435,0,0,0,1,1437,2,0,0,0,0,0,0,0,0,32,1,2,0,126,213,0.0,24,20.11,3.07,0.39,0.21,0.0,0.07,1.51,0.01,0.57,0.0,0.0,0.0,0.0,0.03,0.01,10.6,2.28,12.47,21.49,0.0,0.0,0.0,0.01,21.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.01,0.03,0.0,1.89,3.19,0.0,72.54
מודיעין-מכבים-רעות,65214,48856,131,48725,4233,5881,191,38,1,4,1908,6,390,0,0,3,5,2,7,5170,1670,9876,2812,0,0,0,0,11782,10,2,1,0,0,1,2,0,3,172,22,5,0,806,3722,0.0,24,8.69,12.07,0.39,0.08,0.0,0.01,3.92,0.01,0.8,0.0,0.0,0.01,0.01,0.0,0.01,10.61,3.43,20.27,5.77,0.0,0.0,0.0,0.0,24.18,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.35,0.05,0.01,0.0,1.65,7.64,0.0,74.92
מזכרת בתיה,10859,8127,23,8104,721,777,15,10,0,1,243,1,90,1,0,0,0,1,2,1043,191,1974,412,1,1,0,0,1836,2,0,0,0,0,0,0,0,1,30,0,1,0,174,576,0.0,24,8.9,9.59,0.19,0.12,0.0,0.01,3.0,0.01,1.11,0.01,0.0,0.0,0.0,0.01,0.02,12.87,2.36,24.36,5.08,0.01,0.01,0.0,0.0,22.66,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.37,0.0,0.01,0.0,2.15,7.11,0.0,74.84
מזרעה,2986,1552,15,1537,4,0,0,939,0,0,0,0,0,0,0,1,0,0,0,2,0,17,82,1,0,0,470,4,0,1,0,0,0,0,1,1,0,0,0,0,0,7,7,0.0,24,0.26,0.0,0.0,61.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,1.11,5.34,0.07,0.0,0.0,30.58,0.26,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,51.98
מטה אשר,22089,14879,46,14833,2341,691,42,610,1,2,213,2,149,0,1,0,0,0,3,1609,369,2338,2052,1,0,1,475,2945,8,1,1,0,0,1,1,1,3,77,6,3,0,180,706,0.0,24,15.78,4.66,0.28,4.11,0.01,0.01,1.44,0.01,1.0,0.0,0.01,0.0,0.0,0.0,0.02,10.85,2.49,15.76,13.83,0.01,0.0,0.01,3.2,19.85,0.05,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.02,0.52,0.04,0.02,0.0,1.21,4.76,0.0,67.36
מטה יהודה,38152,26873,84,26789,3066,2398,144,654,1,74,1135,1,216,1,1,6,2,1,3,2187,664,7155,2385,2,1,0,281,3451,3,1,2,0,2,0,1,2,0,170,2,1,0,1333,1443,0.0,24,11.44,8.95,0.54,2.44,0.0,0.28,4.24,0.0,0.81,0.0,0.0,0.02,0.01,0.0,0.01,8.16,2.48,26.71,8.9,0.01,0.0,0.0,1.05,12.88,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.63,0.01,0.0,0.0,4.98,5.39,0.0,70.44
מטולה,1468,862,3,859,134,60,1,1,0,0,17,0,12,0,0,0,0,0,0,164,42,126,51,1,0,0,1,150,1,0,0,0,0,0,1,0,0,13,0,0,0,6,78,0.0,24,15.6,6.98,0.12,0.12,0.0,0.0,1.98,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,19.09,4.89,14.67,5.94,0.12,0.0,0.0,0.12,17.46,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.51,0.0,0.0,0.0,0.7,9.08,0.0,58.72
מיתר,7551,5523,11,5512,461,777,8,21,0,0,314,0,48,0,0,0,0,0,3,657,123,1252,238,0,0,0,14,1131,0,1,0,0,1,0,1,0,0,19,2,0,0,62,379,0.0,24,8.36,14.1,0.15,0.38,0.0,0.0,5.7,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.05,11.92,2.23,22.71,4.32,0.0,0.0,0.0,0.25,20.52,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.34,0.04,0.0,0.0,1.12,6.88,0.0,73.14
מנשה,14576,9956,27,9929,1769,532,9,534,0,2,254,0,84,2,0,0,0,0,0,1178,242,823,1691,0,0,0,305,2021,3,1,1,0,2,0,0,0,1,43,3,0,0,68,361,0.0,24,17.82,5.36,0.09,5.38,0.0,0.02,2.56,0.0,0.85,0.02,0.0,0.0,0.0,0.0,0.0,11.86,2.44,8.29,17.03,0.0,0.0,0.0,3.07,20.35,0.03,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.01,0.43,0.03,0.0,0.0,0.68,3.64,0.0,68.3
מסעדה,376,73,1,72,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,7,29,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,0.0,24,5.56,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.17,9.72,40.28,2.78,0.0,0.0,0.0,0.0,15.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,8.33,4.17,0.0,19.41
מעיליא,2565,1668,10,1658,13,2,0,1126,0,0,0,0,2,0,0,0,1,0,1,15,3,47,268,0,0,0,7,152,1,1,0,0,1,0,1,1,0,1,0,0,0,1,14,0.0,24,0.78,0.12,0.0,67.91,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.06,0.0,0.06,0.9,0.18,2.83,16.16,0.0,0.0,0.0,0.42,9.17,0.06,0.06,0.0,0.0,0.06,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.0,0.06,0.84,0.0,65.03
מעלה יוסף,8090,5624,21,5603,418,365,16,13,0,2,238,1,42,0,0,2,0,0,0,412,117,2373,202,0,0,0,0,531,0,1,0,0,0,0,0,0,1,34,3,1,0,488,343,0.0,24,7.46,6.51,0.29,0.23,0.0,0.04,4.25,0.02,0.75,0.0,0.0,0.04,0.0,0.0,0.0,7.35,2.09,42.35,3.61,0.0,0.0,0.0,0.0,9.48,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.61,0.05,0.02,0.0,8.71,6.12,0.0,69.52
