municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
באר טוביה,16178,12122,36,12086,1029,744,26,58,0,34,350,2,126,0,0,0,0,0,3,1889,220,3536,677,0,1,0,5,2207,0,0,0,0,1,0,1,1,1,21,6,2,0,511,635,0.0,24,8.51,6.16,0.22,0.48,0.0,0.28,2.9,0.02,1.04,0.0,0.0,0.0,0.0,0.0,0.02,15.63,1.82,29.26,5.6,0.0,0.01,0.0,0.04,18.26,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.17,0.05,0.02,0.0,4.23,5.25,0.0,74.93
באר יעקב,17182,12529,37,12492,531,947,103,17,0,2,342,0,150,0,0,0,1,2,7,1129,429,4329,236,2,1,0,2,2412,1,1,2,0,0,1,1,0,1,34,6,2,0,873,928,0.0,24,4.25,7.58,0.82,0.14,0.0,0.02,2.74,0.0,1.2,0.0,0.0,0.0,0.01,0.02,0.06,9.04,3.43,34.65,1.89,0.02,0.01,0.0,0.02,19.31,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.27,0.05,0.02,0.0,6.99,7.43,0.0,72.92
באר שבע,163196,92304,647,91657,2963,6526,716,349,3,6,4972,27,736,3,7,14,9,27,42,4405,8847,38604,1400,18,21,9,196,8821,27,15,4,5,8,13,15,15,29,477,30,15,0,7110,5173,0.0,24,3.23,7.12,0.78,0.38,0.0,0.01,5.42,0.03,0.8,0.0,0.01,0.02,0.01,0.03,0.05,4.81,9.65,42.12,1.53,0.02,0.02,0.01,0.21,9.62,0.03,0.02,0.0,0.01,0.01,0.01,0.02,0.02,0.03,0.52,0.03,0.02,0.0,7.76,5.64,0.0,56.56
בוסתאן אל-מרג',5842,2541,42,2499,116,1,0,900,0,0,0,0,10,1,0,0,1,0,0,10,1,468,172,0,0,0,705,76,0,1,0,1,1,0,0,2,0,1,0,0,0,6,26,0.0,24,4.64,0.04,0.0,36.01,0.0,0.0,0.0,0.0,0.4,0.04,0.0,0.0,0.04,0.0,0.0,0.4,0.04,18.73,6.88,0.0,0.0,0.0,28.21,3.04,0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.0,0.24,1.04,0.0,43.5
בועיינה-נוג'ידאת,6773,3527,68,3459,8,0,0,943,1,0,0,0,3,0,0,1,0,2,1,3,0,124,83,0,0,1,2228,17,0,0,3,2,0,0,0,2,2,0,2,0,0,32,1,0.0,24,0.23,0.0,0.0,27.26,0.03,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.0,0.06,0.03,0.09,0.0,3.58,2.4,0.0,0.0,0.03,64.41,0.49,0.0,0.0,0.09,0.06,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.93,0.03,0.0,52.07
בוקעאתא,595,92,0,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,34,27,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0.0,24,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.78,36.96,29.35,7.61,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,4.35,0.0,15.46
ביר אל-מכסור,6690,2622,21,2601,27,0,0,112,0,0,0,0,1,1,1,0,0,1,0,7,28,182,21,0,0,0,2042,123,0,1,0,0,1,0,2,0,2,0,0,1,0,17,31,0.0,24,1.04,0.0,0.0,4.31,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.04,0.0,0.27,1.08,7.0,0.81,0.0,0.0,0.0,78.51,4.73,0.0,0.04,0.0,0.0,0.04,0.0,0.08,0.0,0.08,0.0,0.0,0.04,0.0,0.65,1.19,0.0,39.19
בית ג'ן,8907,3423,24,3399,92,52,0,149,0,0,2,0,19,0,0,0,1,1,2,484,1165,470,520,0,0,0,12,276,0,0,0,0,2,0,0,1,0,6,1,0,0,31,113,0.0,24,2.71,1.53,0.0,4.38,0.0,0.0,0.06,0.0,0.56,0.0,0.0,0.0,0.03,0.03,0.06,14.24,34.27,13.83,15.3,0.0,0.0,0.0,0.35,8.12,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.03,0.0,0.18,0.03,0.0,0.0,0.91,3.32,0.0,38.43
בית דגן,5162,3742,11,3731,139,248,38,2,0,0,249,0,52,0,0,0,0,0,1,254,75,1585,61,1,0,0,1,535,0,2,0,0,0,0,1,0,0,13,2,0,0,265,207,0.0,24,3.73,6.65,1.02,0.05,0.0,0.0,6.67,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.03,6.81,2.01,42.48,1.63,0.03,0.0,0.0,0.03,14.34,0.0,0.05,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.35,0.05,0.0,0.0,7.1,5.55,0.0,72.49
בית שאן,14469,9428,50,9378,83,455,54,5,0,0,728,0,45,0,0,0,0,0,0,193,131,5121,28,2,0,0,3,230,1,0,0,0,0,1,1,0,0,15,0,1,0,1980,301,0.0,24,0.89,4.85,0.58,0.05,0.0,0.0,7.76,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,2.06,1.4,54.61,0.3,0.02,0.0,0.0,0.03,2.45,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.16,0.0,0.01,0.0,21.11,3.21,0.0,65.16
